pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_insol,discoverymethod,hostname
Kepler-148 c,,,4.180048081,,,Transit,Kepler-148
Kepler-148 c,,,4.1801057008,,,Transit,Kepler-148
Kepler-148 c,3.55,,4.180049552,0.049,202.06,Transit,Kepler-148
Kepler-148 c,3.55,,4.180049552,0.049,202.06,Transit,Kepler-148
Kepler-148 c,3.44,,4.180048081,0.0487,197.81,Transit,Kepler-148
Kepler-148 c,3.339,,,,187.197,Transit,Kepler-148
Kepler-222 d,3.75,,28.08194365,0.1777,17.52,Transit,Kepler-222
Kepler-222 d,3.563,,28.08194365,0.17673,14.7,Transit,Kepler-222
Kepler-222 d,3.63,,28.08185982,0.1777,17.52,Transit,Kepler-222
Kepler-222 d,,,28.08196251,,,Transit,Kepler-222
Kepler-222 d,,,28.08185982,,,Transit,Kepler-222
Kepler-222 d,3.3,,28.08209,0.172,,Transit,Kepler-222
Kepler-222 d,3.75,,28.08194365,0.1777,17.52,Transit,Kepler-222
Kepler-222 d,3.69,,28.081912,0.18,,Transit,Kepler-222
Kepler-222 d,3.513,,,,15.087,Transit,Kepler-222
Kepler-222 d,3.75,,28.08194365,0.1777,17.52,Transit,Kepler-222
Kepler-222 d,3.74,,28.08194365,,,Transit,Kepler-222
Kepler-222 d,,,28.0819359545,,,Transit,Kepler-222
Kepler-29 c,3.14,4.0,13.2884,,69.0,Transit,Kepler-29
Kepler-29 c,2.78,,13.28689997,0.1087,61.8,Transit,Kepler-29
Kepler-29 c,,,13.28689997,,,Transit,Kepler-29
Kepler-29 c,1226.4,,13.28689074,0.1088,61.37,Transit,Kepler-29
Kepler-29 c,,,13.28706214,,,Transit,Kepler-29
Kepler-29 c,1023.268,,13.28689074,0.10027,39.9,Transit,Kepler-29
Kepler-29 c,2.9,95.3,13.2907,0.11,,Transit,Kepler-29
Kepler-29 c,1226.4,,13.28689074,0.1088,61.37,Transit,Kepler-29
Kepler-29 c,3.5,,13.28992,0.111,,Transit,Kepler-29
Kepler-29 c,2.39,,,,35.524,Transit,Kepler-29
Kepler-29 c,,,13.28689074,,,Transit,Kepler-29
Kepler-29 c,1226.4,,13.28689074,0.1088,61.37,Transit,Kepler-29
Kepler-29 c,2.34,4.5,13.28613,,34.4,Transit,Kepler-29
